NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:30.491;0;;29.086;0;28.739;2;32.666;2;74.0;1:30.491;17:47:25.334;0:29.086;0:28.739;0:32.666;;Denise Yeung;;PRO;;Professional;;
1;0;2;1:29.045;2;;26.626;2;28.911;0;33.508;0;75.2;2:59.536;17:48:54.379;0:26.626;0:28.911;0:33.508;;Denise Yeung;;PRO;;Professional;;
1;0;3;1:35.102;0;;28.879;0;30.562;0;35.661;0;70.4;4:34.638;17:50:29.481;0:28.879;0:30.562;0:35.661;;Denise Yeung;;PRO;;Professional;;
1;0;4;1:35.886;0;;29.532;0;30.859;0;35.495;0;69.8;6:10.524;17:52:05.367;0:29.532;0:30.859;0:35.495;;Denise Yeung;;PRO;;Professional;;
1;0;5;1:36.352;0;;30.097;0;31.301;0;34.954;0;69.5;7:46.876;17:53:41.719;0:30.097;0:31.301;0:34.954;;Denise Yeung;;PRO;;Professional;;
1;0;6;1:38.005;0;;30.269;0;31.798;0;35.938;0;68.3;9:24.881;17:55:19.724;0:30.269;0:31.798;0:35.938;;Denise Yeung;;PRO;;Professional;;
1;0;7;1:39.702;0;;31.899;0;31.730;0;36.073;0;67.2;11:04.583;17:56:59.426;0:31.899;0:31.730;0:36.073;;Denise Yeung;;PRO;;Professional;;
1;0;8;1:40.009;0;;32.040;0;31.906;0;36.063;0;67.0;12:44.592;17:58:39.435;0:32.040;0:31.906;0:36.063;;Denise Yeung;;PRO;;Professional;;
1;0;9;1:39.383;0;;31.546;0;31.930;0;35.907;0;67.4;14:23.975;18:00:18.818;0:31.546;0:31.930;0:35.907;;Denise Yeung;;PRO;;Professional;;
1;0;10;1:40.254;0;;31.459;0;32.228;0;36.567;0;66.8;16:04.229;18:01:59.072;0:31.459;0:32.228;0:36.567;;Denise Yeung;;PRO;;Professional;;
11;0;1;1:34.484;0;;31.790;0;28.483;2;34.211;2;70.9;1:34.484;17:47:29.327;0:31.790;0:28.483;0:34.211;;Ho Paul Yun Man;;PRO;;Professional;;
