NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER
11;1;1;1:24.343;0;;29.658;0;20.980;0;33.705;0;97.6;1:24.343;16:05:16.419;0:29.658;0:20.980;0:33.705;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;2;1:10.898;0;;23.354;0;19.265;0;28.279;0;116.1;2:35.241;16:06:27.317;0:23.354;0:19.265;0:28.279;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;3;1:13.446;0;;22.581;0;19.343;0;31.522;0;112.1;3:48.687;16:07:40.763;0:22.581;0:19.343;0:31.522;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;4;1:10.417;0;;22.722;0;19.403;0;28.292;0;116.9;4:59.104;16:08:51.180;0:22.722;0:19.403;0:28.292;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;5;1:09.392;0;;22.313;0;19.075;0;28.004;0;118.6;6:08.496;16:10:00.572;0:22.313;0:19.075;0:28.004;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;6;1:22.666;0;;23.352;0;18.540;0;40.774;0;99.6;7:31.162;16:11:23.238;0:23.352;0:18.540;0:40.774;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235
11;1;7;1:11.097;0;;23.300;0;18.549;0;29.248;0;115.8;8:42.259;16:12:34.335;0:23.300;0:18.549;0:29.248;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235
11;1;8;1:10.047;0;;23.338;0;19.219;0;27.490;0;117.5;9:52.306;16:13:44.382;0:23.338;0:19.219;0:27.490;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235
11;1;9;1:08.895;0;;21.962;0;18.773;0;28.160;0;119.5;11:01.201;16:14:53.277;0:21.962;0:18.773;0:28.160;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235
11;1;10;1:08.955;0;;22.101;0;19.091;0;27.763;0;119.4;12:10.156;16:16:02.232;0:22.101;0:19.091;0:27.763;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;11;1:09.091;0;;22.334;0;19.075;0;27.682;0;119.2;13:19.247;16:17:11.323;0:22.334;0:19.075;0:27.682;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;12;1:09.587;0;;22.148;0;19.465;0;27.974;0;118.3;14:28.834;16:18:20.910;0:22.148;0:19.465;0:27.974;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;13;1:08.836;0;;22.142;0;18.913;0;27.781;0;119.6;15:37.670;16:19:29.746;0:22.142;0:18.913;0:27.781;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
11;1;14;1:08.782;0;;22.131;0;18.916;0;27.735;0;119.7;16:46.452;16:20:38.528;0:22.131;0:18.916;0:27.735;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;
