NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;0;33.146;0;;;0;;0;;0;271.0;33.146;20:07:31.369;;;;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;1;1:18.900;0;;26.383;0;21.513;0;31.004;0;113.8;1:52.046;20:08:50.269;0:26.383;0:21.513;0:31.004;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;2;1:14.989;0;;24.352;0;20.396;0;30.241;0;119.8;3:07.035;20:10:05.258;0:24.352;0:20.396;0:30.241;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;3;1:12.827;0;;23.149;0;19.961;0;29.717;0;123.3;4:19.862;20:11:18.085;0:23.149;0:19.961;0:29.717;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;4;1:12.080;0;;23.095;0;19.483;0;29.502;0;124.6;5:31.942;20:12:30.165;0:23.095;0:19.483;0:29.502;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;5;1:11.261;0;;22.796;0;19.448;0;29.017;0;126.0;6:43.203;20:13:41.426;0:22.796;0:19.448;0:29.017;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;6;1:11.091;0;;22.613;0;19.374;0;29.104;0;126.3;7:54.294;20:14:52.517;0:22.613;0:19.374;0:29.104;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;7;1:11.106;0;;22.871;0;19.220;0;29.015;0;126.3;9:05.400;20:16:03.623;0:22.871;0:19.220;0:29.015;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;8;1:13.576;0;;22.904;0;19.443;0;31.229;0;122.1;10:18.976;20:17:17.199;0:22.904;0:19.443;0:31.229;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;9;1:11.263;0;;22.751;0;18.987;0;29.525;0;126.0;11:30.239;20:18:28.462;0:22.751;0:18.987;0:29.525;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;10;1:10.701;0;;22.421;0;19.554;0;28.726;0;127.0;12:40.940;20:19:39.163;0:22.421;0:19.554;0:28.726;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;11;1:09.592;0;;22.362;0;18.816;0;28.414;0;129.1;13:50.532;20:20:48.755;0:22.362;0:18.816;0:28.414;;Sam BIRD;;;;Jaguar TCS Racing;;250;
10;1;12;1:09.248;0;;22.184;0;18.790;0;28.274;0;129.7;14:59.780;20:21:58.003;0:22.184;0:18.790;0:28.274;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;13;1:09.384;0;;22.245;0;18.784;0;28.355;0;129.5;16:09.164;20:23:07.387;0:22.245;0:18.784;0:28.355;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;14;1:10.806;0;;22.404;0;19.317;0;29.085;0;126.9;17:19.970;20:24:18.193;0:22.404;0:19.317;0:29.085;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;15;1:10.615;0;;22.642;0;18.974;0;28.999;0;127.2;18:30.585;20:25:28.808;0:22.642;0:18.974;0:28.999;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;16;1:11.055;0;;23.188;0;19.335;0;28.532;0;126.4;19:41.640;20:26:39.863;0:23.188;0:19.335;0:28.532;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;17;1:09.829;0;;22.279;0;19.005;0;28.545;0;128.6;20:51.469;20:27:49.692;0:22.279;0:19.005;0:28.545;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;18;1:09.560;0;;22.259;0;18.795;0;28.506;0;129.1;22:01.029;20:28:59.252;0:22.259;0:18.795;0:28.506;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;19;1:11.538;0;;22.470;0;20.304;0;28.764;0;125.6;23:12.567;20:30:10.790;0:22.470;0:20.304;0:28.764;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;20;1:09.477;0;;22.209;0;18.891;0;28.377;0;129.3;24:22.044;20:31:20.267;0:22.209;0:18.891;0:28.377;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;21;1:09.512;0;;22.114;0;18.861;0;28.537;0;129.2;25:31.556;20:32:29.779;0:22.114;0:18.861;0:28.537;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;22;1:10.864;0;;22.114;0;18.862;0;29.888;0;126.7;26:42.420;20:33:40.643;0:22.114;0:18.862;0:29.888;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;23;1:08.986;0;;22.017;0;18.775;0;28.194;0;130.2;27:51.406;20:34:49.629;0:22.017;0:18.775;0:28.194;;Sam BIRD;;;;Jaguar TCS Racing;;250;
10;1;24;1:08.723;3;;21.866;2;18.723;2;28.134;3;130.7;29:00.129;20:35:58.352;0:21.866;0:18.723;0:28.134;;Sam BIRD;;;;Jaguar TCS Racing;;250;
10;1;25;1:08.984;0;;21.908;0;18.734;0;28.342;0;130.2;30:09.113;20:37:07.336;0:21.908;0:18.734;0:28.342;;Sam BIRD;;;;Jaguar TCS Racing;;250;
10;1;26;1:09.312;0;;22.045;0;18.781;0;28.486;0;129.6;31:18.425;20:38:16.648;0:22.045;0:18.781;0:28.486;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;27;1:09.516;0;;22.244;0;18.836;0;28.436;0;129.2;32:27.941;20:39:26.164;0:22.244;0:18.836;0:28.436;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;28;1:09.291;0;;21.989;0;18.831;0;28.471;0;129.6;33:37.232;20:40:35.455;0:21.989;0:18.831;0:28.471;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;29;1:09.589;0;;22.328;0;18.876;0;28.385;0;129.1;34:46.821;20:41:45.044;0:22.328;0:18.876;0:28.385;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;30;1:11.224;0;;22.428;0;18.755;0;30.041;0;126.1;35:58.045;20:42:56.268;0:22.428;0:18.755;0:30.041;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;31;1:24.266;0;;22.732;0;19.686;0;41.848;0;106.6;37:22.311;20:44:20.534;0:22.732;0:19.686;0:41.848;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;32;3:47.927;0;;1:28.361;0;1:02.458;0;1:17.108;0;39.4;41:10.238;20:48:08.461;1:28.361;1:02.458;1:17.108;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;33;2:15.020;0;;55.531;0;30.240;0;49.249;0;66.5;43:25.258;20:50:23.481;0:55.531;0:30.240;0:49.249;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;34;2:18.055;0;;59.585;0;29.421;0;49.049;0;65.1;45:43.313;20:52:41.536;0:59.585;0:29.421;0:49.049;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;35;1:30.508;0;;33.372;0;24.953;0;32.183;0;99.2;47:13.821;20:54:12.044;0:33.372;0:24.953;0:32.183;;Sam BIRD;;;;Jaguar TCS Racing;;;
11;1;0;25.116;0;;;0;;0;;0;357.6;25.116;20:07:23.339;;;;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;1;1:14.833;0;;24.576;0;20.150;0;30.107;0;120.0;1:39.949;20:08:38.172;0:24.576;0:20.150;0:30.107;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;2;1:13.627;0;;23.893;0;19.838;0;29.896;0;122.0;2:53.576;20:09:51.799;0:23.893;0:19.838;0:29.896;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;3;1:12.021;0;;23.339;0;19.502;0;29.180;0;124.7;4:05.597;20:11:03.820;0:23.339;0:19.502;0:29.180;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;4;1:11.496;0;;23.013;0;19.384;0;29.099;0;125.6;5:17.093;20:12:15.316;0:23.013;0:19.384;0:29.099;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;5;1:10.745;0;;22.703;0;19.151;0;28.891;0;127.0;6:27.838;20:13:26.061;0:22.703;0:19.151;0:28.891;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;6;1:10.526;0;;22.514;0;19.168;0;28.844;0;127.4;7:38.364;20:14:36.587;0:22.514;0:19.168;0:28.844;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;7;1:11.577;0;;22.361;0;18.904;0;30.312;0;125.5;8:49.941;20:15:48.164;0:22.361;0:18.904;0:30.312;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;
11;1;8;1:09.792;0;;22.422;0;18.906;0;28.464;0;128.7;9:59.733;20:16:57.956;0:22.422;0:18.906;0:28.464;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;250;
