NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:34.484;0;;45.850;0;19.234;0;29.400;0;122.7;1:34.484;17:05:34.049;0:45.850;0:19.234;0:29.400;;Stoffel VANDOORNE;0:00:12.868;;;DS PENSKE;;;false;
1;1;2;1:17.307;0;;29.586;0;18.177;0;29.544;0;148.6;2:51.791;17:06:51.356;0:29.586;0:18.177;0:29.544;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:20.491;0;;32.202;0;19.949;0;28.340;0;142.7;4:12.282;17:08:11.847;0:32.202;0:19.949;0:28.340;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:19.031;0;;30.958;0;18.628;0;29.445;0;145.3;5:31.313;17:09:30.878;0:30.958;0:18.628;0:29.445;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;2:04.563;0;;32.625;0;38.068;0;53.870;0;92.2;7:35.876;17:11:35.441;0:32.625;0:38.068;0:53.870;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;3:28.275;0;;1:25.345;0;49.349;0;1:13.581;0;55.1;11:04.151;17:15:03.716;1:25.345;0:49.349;1:13.581;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:24.312;0;;30.000;0;18.195;0;36.117;0;136.2;12:28.463;17:16:28.028;0:30.000;0:18.195;0:36.117;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:15.331;0;;29.906;0;18.091;0;27.334;0;152.4;13:43.794;17:17:43.359;0:29.906;0:18.091;0:27.334;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:17.668;0;;30.668;0;17.990;0;29.010;0;147.9;15:01.462;17:19:01.027;0:30.668;0:17.990;0:29.010;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:18.522;0;;31.592;0;18.359;0;28.571;0;146.3;16:19.984;17:20:19.549;0:31.592;0:18.359;0:28.571;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;2:52.098;0;;56.789;0;33.238;0;1:22.071;0;66.7;19:12.082;17:23:11.647;0:56.789;0:33.238;1:22.071;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;3:08.679;0;;1:14.924;0;43.633;0;1:10.122;0;60.9;22:20.761;17:26:20.326;1:14.924;0:43.633;1:10.122;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;2:36.473;0;;58.629;0;47.932;0;49.912;0;73.4;24:57.234;17:28:56.799;0:58.629;0:47.932;0:49.912;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;14;1:33.076;0;;32.883;0;20.937;0;39.256;0;123.4;26:30.310;17:30:29.875;0:32.883;0:20.937;0:39.256;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;15;2:01.029;0;;34.117;0;24.834;0;1:02.078;0;94.9;28:31.339;17:32:30.904;0:34.117;0:24.834;1:02.078;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
